Line Number,French Sentence,English Translation,last_run,last_score
"[5] PAS
",Je ne veux pas de ça !,I don't want that.,0,0
"[5] PAS
",Ne parle pas de moi !,Don't talk about me.,0,0
"[5] PAS
",Ne me parle pas !,Don't talk to me!,0,0
"[6] LE
",Je peux le faire !,I can do this.,0,0
"[6] LE
",Tu peux le faire !,You can do it.,0,0
"[6] LE
","Tu ne peux pas le faire, si ?","You can't do it, can you?",0,0
"[6] LE
",Qui est le plus grand de tous ?,Who is the tallest of all?,0,0
"[6] LE
",Tu ne le lui as pas fait dire !,That's told him!,0,0
"[6] LE
",Ça ne va pas le faire !,It's not gonna be fine!,0,0
"[6] LE
","Tu ne le veux pas vraiment, si ?","You don't really want that, do you?",0,0
"[6] LE
",Je dois le voir !,I have to see it!,0,0
"[6] LE
",Ça tu ne le lui as pas fait dire !,That's told him!,0,0
"[6] LE
",Ne le fais pas !,Don't do it!,0,0
"[7] QUE
",Il est plus que grand temps !,It's high time to get going!,0,0
"[7] QUE
",C'est tout ce que tu as ?,That all you've got?,0,0
"[7] QUE
",C'est aussi bon que ça ?!,It's THAT good?!,0,0
"[7] QUE
",Je ne fais que parler !,I'm just saying!,0,0
"[7] QUE
",Tu comprends ce que je veux dire ?,Do you see what I mean?,0,0
"[7] QUE
",Tu vois ce que je veux dire ?,You see what I mean?,0,0
"[7] QUE
",Tu le connais aussi bien que ça ?,Do you know him that much?,0,0
"[7] QUE
",C'est comme ça que tu fais !,That's how you do it!,0,0
"[7] QUE
",Demande ce que tu veux !,Ask for what you want!,0,0
"[7] QUE
",Demande à qui que ce soit !,Ask anybody.,0,0
"[8] EST
",Il est temps !,It's about time.,0,0
"[8] EST
",À qui est ce livre ?,Whose book is this?,0,0
"[8] EST
",À qui est ce livre ?,Whose book is that?,0,0
"[8] EST
",Qui est à la maison ?,Who is in the house?,0,0
"[8] EST
",Il est bien temps !,It's about time.,0,0
"[8] EST
",Qui est le plus grand de tous ?,Who is the tallest of all?,0,0
"[8] EST
",Il est plus que grand temps !,It's high time to get going!,0,0
"[8] EST
",Il est si grand !,It's so big!,0,0
"[8] EST
",Il est grand temps !,It's about time.,0,0
"[8] EST
",Qui est dans la maison?,Who is in the house?,0,0
"[9] VOUS
",Je suis avec vous,I'm by your side.,0,0
"[9] VOUS
",Je ne suis pas comme vous !,I'm not like you!,0,0
"[9] VOUS
",Moi je ne suis pas comme vous !,I'm not like you!,0,0
"[9] VOUS
",Je ne vous dois rien !,I don't owe you squat!,0,0
"[9] VOUS
",Je vous l’ai dit !,I told you so.,0,0
"[9] VOUS
",Ça vous a fait mal ?,Did it hurt?,0,0
"[9] VOUS
",Que vous êtes grand !,How tall you are!,0,0
"[9] VOUS
",Qui vous a donné ça ?,Who gave you this?,0,0
"[9] VOUS
",Comme vous êtes grand !,How tall you are!,0,0
"[9] VOUS
",Que vous êtes grande !,How tall you are!,0,0
"[10] UN
",Je ne suis pas un homme !,I'm not a man!,0,0
"[10] UN
",Je ne suis pas un homme !,I am not a man!,0,0
"[10] UN
",Il y a un chien !,There is a dog!,0,0
"[10] UN
",Il y a un chien !,There's a dog!,0,0
"[10] UN
",Il fait un temps de chien,What horrible weather.,0,0
"[10] UN
",Encore un peu ?,A little more?,0,0
"[10] UN
",Il y a un problème ?,Is there a problem?,0,0
"[10] UN
",Je peux avoir un reçu ?,May I have a receipt?,0,0
"[10] UN
",C'est un problème !,This is a problem!,0,0
"[10] UN
",Vous avez un problème ?,What is wrong with you?,0,0
"[11] NE
",Je ne suis pas comme vous !,I'm not like you!,0,0
"[11] NE
","Tu ne peux pas le faire, si ?","You can't do it, can you?",0,0
"[11] NE
",Moi je ne suis pas comme vous !,I'm not like you!,0,0
"[11] NE
",Tu ne peux pas ou tu ne veux pas ?,You can't or you won't?,0,0
"[11] NE
",Je ne suis pas un homme !,I'm not a man!,0,0
"[11] NE
",Je ne suis pas un homme !,I am not a man!,0,0
"[11] NE
",Je ne veux pas de ça !,I don't want that.,0,0
"[11] NE
",Qui ne pense pas de même ?,Who doesn't think so?,0,0
"[11] NE
",Tu ne le lui as pas fait dire !,That's told him!,0,0
"[11] NE
",Être ou ne pas être ?,To be or not to be?,0,0
"[12] CE
",À qui est ce livre ?,Whose book is this?,0,0
"[12] CE
",À qui est ce livre ?,Whose book is that?,0,0
"[12] CE
",C'est tout ce que tu as ?,That all you've got?,0,0
"[12] CE
",Tu comprends ce que je veux dire ?,Do you see what I mean?,0,0
"[12] CE
",Tu vois ce que je veux dire ?,You see what I mean?,0,0
"[12] CE
",De quoi parle ce livre ?,What is the book about?,0,0
"[12] CE
",Demande ce que tu veux !,Ask for what you want!,0,0
"[12] CE
",Fais ce qu'il dit !,Do what he says.,0,0
"[12] CE
",Où va ce livre ?,Where does this book go?,0,0
"[12] CE
",À qui est ce livre sur le bureau ?,Whose book is this on the desk?,0,0
"[13] A
",Qui a fait ça ?,Who did this?,0,0
"[13] A
",Il y a trop de choses à faire !,There are too many things to do!,0,0
"[13] A
",Il y a un chien !,There is a dog!,0,0
"[13] A
",Il y a un chien !,There's a dog!,0,0
"[13] A
",Ça vous a fait mal ?,Did it hurt?,0,0
"[13] A
",Qui a dit cela ?,Who said that?,0,0
"[13] A
",Il y a un problème ?,Is there a problem?,0,0
"[13] A
",Il y a quelqu'un ?,Is anybody here?,0,0
"[13] A
",Il y a quelque chose entre vous?,Is there anything between you?,0,0
"[13] A
",Qui a eu cette idée ?,Who had this idea?,0,0
"[14] UNE
",Tu veux une voiture ?,Do you want a car?,0,0
"[14] UNE
",Un chat n'est pas une personne !,A cat is not a person!,0,0
"[14] UNE
",Un garçon ou une fille ?,Is it a boy or a girl?,0,0
"[14] UNE
",C'est une bonne fille,She's a good girl.,0,0
"[14] UNE
",Qui a écrit une lettre ?,Who wrote a letter?,0,0
"[14] UNE
",C'est une belle journée !,It's a beautiful day!,0,0
"[14] UNE
",Je peux te poser une question?,Can I ask you a question?,0,0
"[14] UNE
",Ma vie pour une bière !,I'm dying for a beer!,0,0
"[14] UNE
",Passe une bonne journée !,Have a nice day.,0,0
"[14] UNE
",Je te souhaite une bonne journée !,I hope you have a great day!,0,0
"[15] LES
",Pourquoi pas les deux ?,Why not both?,0,0
"[15] LES
",Où sont les garçons ?,Where are the boys?,0,0
"[15] LES
",Où sont tous les autres ?,Where are all the others?,0,0
"[15] LES
",Où sont tous les autres ?,Where's everybody else?,0,0
"[15] LES
",Où sont tous les autres ?,Where's everyone else?,0,0
"[15] LES
",Où sont les autres ?,Where are the others?,0,0
"[15] LES
",Où sont les pommes ?,Where are the apples?,0,0
"[15] LES
",Où sont les filles ?,Where are the girls?,0,0
"[15] LES
",Où sont toutes les autres ?,Where's everybody else?,0,0
"[15] LES
",Où sont toutes les autres ?,Where's everyone else?,0,0
"[16] JE
",Moi je ne suis pas comme vous !,I'm not like you!,0,0
"[16] JE
",Tu sais qui je suis ?,Do you know me?,0,0
"[16] JE
",Moi je ne suis pas comme toi !,I'm not like you!,0,0
"[16] JE
",Tu comprends ce que je veux dire ?,Do you see what I mean?,0,0
"[16] JE
",Tu vois ce que je veux dire ?,You see what I mean?,0,0
"[16] JE
",Ne me dis pas ce que je sais déjà !,Don't tell me what I already know.,0,0
"[16] JE
",Ne me dis pas ce que je sais !,Don't tell me what I know.,0,0
"[16] JE
",Comme je suis content de te voir !,How glad I am to see you!,0,0
"[16] JE
",Je pense donc je suis,I think therfore I am,0,0
"[16] JE
",Que je suis heureux aujourd'hui !,How happy I am today!,0,0
"[17] EN
",Je ne peux plus en prendre !,I can't take any more!,0,0
"[17] EN
",Qui est en train de lire ?,Who is reading?,0,0
"[17] EN
",Qui est en train de regarder ?,Who's watching?,0,0
"[17] EN
",Tu vas lui en parler ?,Are you going to tell him?,0,0
"[17] EN
",Tu vas lui en parler ?,Are you going to tell her?,0,0
"[17] EN
",Tu en as peur?,Are you afraid of it?,0,0
"[17] EN
",Tu y vas en train ou en voiture ?,Do you go by train or by car?,0,0
"[17] EN
",Vous en avez peur?,Are you afraid of it?,0,0
"[17] EN
",Je vais être en retard à l’école !,I'll be late for school!,0,0
"[17] EN
",Tu es venu en train ou en bus ?,Did you come here by train or by bus?,0,0
"[18] POUR
",Au temps pour moi !,My bad!,0,0
"[18] POUR
",Au temps pour moi !,My mistake!,0,0
"[18] POUR
",Et pour quoi ?,And for what?,0,0
"[18] POUR
",Tout est si nouveau pour moi!,Everything is so new to me!,0,0
"[18] POUR
",Tu me prends pour qui ?,What do you take me for?,0,0
"[18] POUR
",Tu me prends pour qui ?!,Who do you think I am?,0,0
"[18] POUR
",Tu me prends pour qui ?!,What do you take me for?!,0,0
"[18] POUR
",C'est facile à dire pour toi !,You can talk well!,0,0
"[18] POUR
",C'est donc pour ça !,So that's why!,0,0
"[18] POUR
",Ne risque pas ta vie pour moi !,Don't risk your life for me.,0,0
"[19] TU
",Tu ne peux pas ou tu ne veux pas ?,You can't or you won't?,0,0
"[19] TU
",C'est tout ce que tu as ?,That all you've got?,0,0
"[19] TU
",Ça tu ne le lui as pas fait dire !,That's told him!,0,0
"[19] TU
",Que tu es grand !,How tall you are!,0,0
"[19] TU
",Comment ça tu ne sais pas ? !,What do you mean you don't know?!,0,0
"[19] TU
",C'est comme ça que tu fais !,That's how you do it!,0,0
"[19] TU
",Demande ce que tu veux !,Ask for what you want!,0,0
"[19] TU
",Comme tu es grand !,How tall you are!,0,0
"[19] TU
",Comme tu es grand !,How big you are!,0,0
"[19] TU
","Si tu veux parler, parle !","If you want to talk, talk.",0,0
"[20] SUIS
",Ne me suis pas !,Don't follow me.,0,0
"[20] SUIS
",Je suis avec vous,I'm by your side.,0,0
"[20] SUIS
",Je ne suis pas comme vous !,I'm not like you!,0,0
"[20] SUIS
",Moi je ne suis pas comme vous !,I'm not like you!,0,0
"[20] SUIS
",Je ne suis pas un homme !,I'm not a man!,0,0
"[20] SUIS
",Je ne suis pas un homme !,I am not a man!,0,0
"[20] SUIS
",Tu sais qui je suis ?,Do you know me?,0,0
"[20] SUIS
",Je ne suis pas comme toi !,I'm not like you!,0,0
"[20] SUIS
",Moi je ne suis pas comme toi !,I'm not like you!,0,0
"[20] SUIS
",Je suis tout à fait d'accord !,I agree completely.,0,0
"[21] DES
",Quel est le plus cher des deux ?,Which is the more expensive of the two?,0,0
"[21] DES
",Ne te fais pas des idées !,Don't get any ideas.,0,0
"[21] DES
",Ne vous faites pas des idées !,Don't get any ideas.,0,0
"[21] DES
",Qui est la plus jolie des filles ?,Who is the prettiest of the girls?,0,0
"[21] DES
",Tu as des plans pour ce soir ?,Do you have plans for tonight?,0,0
"[21] DES
",Il me donne des coups de pied !,He's kicking me!,0,0
"[21] DES
",Lequel est le plus lourd des deux ?,Which is the heavier of the two?,0,0
"[21] DES
",Mets des vêtements !,Put some clothes on.,0,0
"[21] DES
",J'en ai marre des devoirs !,I'm fed up with homework.,0,0
"[21] DES
",Mange des fruits !,Eat fruit!,0,0
"[22] DANS
",Qui est dans la maison?,Who is in the house?,0,0
"[22] DANS
",Ne va pas dans ma chambre !,Don't go in my room.,0,0
"[22] DANS
",Qui est dans cette pièce ?,Who is in this room?,0,0
"[22] DANS
",Il y a quelqu'un dans la pièce ?,Is there anyone in the room?,0,0
"[22] DANS
",Qui vit dans cette maison ?,Who lives in that house?,0,0
"[22] DANS
",Qui vit dans cette maison ?,Who lives in this house?,0,0
"[22] DANS
",Va dans ta chambre !,Go to your room.,0,0
"[22] DANS
",Va dans ta chambre !,Go to your room!,0,0
"[22] DANS
","Que fait ce monsieur, dans la vie ?",What does that gentleman do for a living?,0,0
"[22] DANS
",Je veux aller dans mon lit !,I want to go to my bed!,0,0
"[23] ME
",Ne me suis pas !,Don't follow me.,0,0
"[23] ME
",Ne me parle pas !,Don't talk to me!,0,0
"[23] ME
",Ne me parle pas !,Don't talk to me.,0,0
"[23] ME
",Ne me parle jamais plus !,Don't ever talk to me again.,0,0
"[23] ME
",Ne me parle pas du travail !,Don't talk to me about work.,0,0
"[23] ME
",Ne me fais pas faire ça !,Don't make me do this.,0,0
"[23] ME
",Tu ne me crois pas ?,Don't you believe me?,0,0
"[23] ME
",Ne me parle plus jamais comme ça !,Don't ever speak to me like that!,0,0
"[23] ME
",Ne me fais pas ça !,Don't you do this to me.,0,0
"[23] ME
",Vous avez quelque chose à me dire ?,Do you have something that you want to say to me?,0,0
"[24] ET
","Je vais bien, et toi ?",I'm fine. How about you?,0,0
"[24] ET
",Ta femme m'a vu et te l’a dit ?,Your wife saw me and told you?,0,0
"[24] ET
",Vous voulez y aller et manger ?,Shall we go and eat?,0,0
"[24] ET
",On y va et on mange ?,Shall we go and eat?,0,0
"[24] ET
","Non, non et non !","No, no, no!",0,0
"[24] ET
","Non, non et non !","No, no, and furthermore, no!",0,0
"[24] ET
",Pour la santé et le plaisir !,For health and pleasure!,0,0
"[24] ET
","Moi, j'ai dormi, et toi ?","I slept, and you?",0,0
"[24] ET
","Tom et toi êtes de bons amis, non ?","You and Tom are good friends, right?",0,0
"[24] ET
",Avance et fais place aux autres !,Step forward and make room for others.,0,0
"[25] PLUS
",Qui est le plus grand de tous ?,Who is the tallest of all?,0,0
"[25] PLUS
",Il est plus que grand temps !,It's high time to get going!,0,0
"[25] PLUS
",Je ne peux plus en prendre !,I can't take any more!,0,0
"[25] PLUS
",Ne me parle jamais plus !,Don't ever talk to me again.,0,0
"[25] PLUS
",Ne me parle plus jamais comme ça !,Don't ever speak to me like that!,0,0
"[25] PLUS
","Qui est le plus jeune, lui ou moi ?","Who is younger, him or me?",0,0
"[25] PLUS
",Je n'en peux plus !,I can't stand it any more!,0,0
"[25] PLUS
",Je n'en peux plus !,I'm sick of it!,0,0
"[25] PLUS
",Ne fais plus jamais ça!,Don't do that never again!,0,0
"[25] PLUS
",N'y pense plus !,Don't think about that anymore.,0,0
"[26] DU
",Ne me parle pas du travail !,Don't talk to me about work.,0,0
"[26] DU
",Tu as du temps?,Do you have some time?,0,0
"[26] DU
","Non, pas du tout !","Nope, not at all.",0,0
"[26] DU
",Passe du bon temps !,Have a nice time.,0,0
"[26] DU
",Tu as du feu ?,Do you have a light?,0,0
"[26] DU
",Je suis le roi du monde !,I'm the king of the world!,0,0
"[26] DU
",Où est le journal du jour ?,Where is today's paper?,0,0
"[26] DU
",Ne me parlez pas du travail !,Don't talk to me about work.,0,0
"[26] DU
",Quel est le nom du chien de Tom ?,What's Tom's dog's name?,0,0
"[26] DU
",J'ai la meilleure mère du monde !,I have the best mom in the world!,0,0
"[27] AU
","Comment ça se passe, au travail ?",How are things at work?,0,0
"[27] AU
",Attention au chien !,Beware of the dog!,0,0
"[27] AU
",Pourquoi ne pas aller au cinéma ?,Why not go to the movies?,0,0
"[27] AU
",On va au cinéma ?,Shall we go to the cinema?,0,0
"[27] AU
",Où est le thé au lait ?,Where is the tea with milk?,0,0
"[27] AU
",Ils en ont parlé au téléphone,They talked about it on the telephone.,0,0
"[27] AU
",Va au magasin !,Go to the store!,0,0
"[27] AU
",Va au magasin !,Go to the store.,0,0
"[27] AU
",Qui est au volant ?,Who's at the wheel?,0,0
"[27] AU
",Longue vie au roi !,Long live the King!,0,0
"[28] IL
",Comme il est grand !,How big he is!,0,0
"[28] IL
",De quoi il parle ?,What's he talking about?,0,0
"[28] IL
",Comment il va ?,How are you?,0,0
"[28] IL
",Comme il est vieux !,He is so old!,0,0
"[28] IL
",C'était il y a combien de temps ?,How long ago was that?,0,0
"[28] IL
",Quel grand garçon il est !,What a big boy he is!,0,0
"[28] IL
",Comme il mange !,How he eats!,0,0
"[28] IL
",Comme il a bien joué !,How well he played!,0,0
"[28] IL
",Comme il court vite !,How fast he runs!,0,0
"[28] IL
","Regarde, il y a un lapin !","Look, there's a rabbit!",0,0
"[29] MON
",Où est mon livre ?,Where's my book?,0,0
"[29] MON
",Où est mon livre ?,Where is my book?,0,0
"[29] MON
",Où est mon chien ?,Where is my dog?,0,0
"[29] MON
",Ce n'est pas mon petit ami !,He's not my boyfriend!,0,0
"[29] MON
",Il n'est pas mon petit ami !,He's not my boyfriend!,0,0
"[29] MON
",Tu ne te souviens pas de mon nom ?,Don't you remember my name?,0,0
"[29] MON
",Pas sur mon bureau !,Don't put it on my desk.,0,0
"[29] MON
",Où se trouve mon livre ?,Where's my book?,0,0
"[29] MON
",Où se trouve mon livre ?,Where is my book?,0,0
"[29] MON
",Il est mon genre !,He is my type!,0,0
"[30] AVEC
",Je suis avec vous,I'm by your side.,0,0
"[30] AVEC
",Je parle avec qui ?,Who am I talking with?,0,0
"[30] AVEC
",Je peux aller avec lui ?,May I go with him?,0,0
"[30] AVEC
",Ne joue pas avec moi !,Don't play games with me.,0,0
"[30] AVEC
",Tu viens avec moi ?,Are you coming with me?,0,0
"[30] AVEC
",Qui vient avec moi ?,Who is coming with me?,0,0
"[30] AVEC
",Viens avec nous !,Come along with us.,0,0
"[30] AVEC
",Ne joue pas avec le feu !,Don't play with fire.,0,0
"[30] AVEC
",Tu viens voir un film avec moi ?,Why don't you come to the movies with me?,0,0
"[30] AVEC
",Bonne chance avec votre travail !,Good luck with your work!,0,0
"[31] QUI
",À qui est ce livre ?,Whose book is this?,0,0
"[31] QUI
",À qui est ce livre ?,Whose book is that?,0,0
"[31] QUI
",Tu sais qui je suis ?,Do you know me?,0,0
"[31] QUI
",Quoi ? Qui ? Moi ?,"What? Who, me?",0,0
"[31] QUI
",Je parle avec qui ?,Who am I talking with?,0,0
"[31] QUI
",C'est la voiture de qui ?,Whose car is that?,0,0
"[31] QUI
",Quelque chose qui ne va pas ?,Something wrong with that?,0,0
"[31] QUI
",De qui est cette lettre ?,Who is this letter from?,0,0
"[31] QUI
",C'est la chambre de qui ?,Whose room is this?,0,0
"[31] QUI
",De qui était cette idée ?,Whose idea was that?,0,0
"[32] FAIRE
",Je peux le faire !,I can do this.,0,0
"[32] FAIRE
",Tu peux le faire !,You can do it.,0,0
"[32] FAIRE
",Ça ne va pas le faire !,It's not gonna be fine!,0,0
"[32] FAIRE
",Il y a trop de choses à faire !,There are too many things to do!,0,0
"[32] FAIRE
",Ne me fais pas faire ça !,Don't make me do this.,0,0
"[32] FAIRE
",Tu ne veux pas la faire attendre !,You don't want to keep her waiting.,0,0
"[32] FAIRE
",Il faut faire quelque chose !,Something must be done!,0,0
"[32] FAIRE
",Tu ne veux pas le faire attendre !,You don't want to keep him waiting.,0,0
"[32] FAIRE
",Je ne sais pas quoi faire demain !,I don't know what to do tomorrow.,0,0
"[32] FAIRE
",Il y a encore tant à faire !,There's still so much to do!,0,0
"[33] SONT
",Qui sont ces gens ?,Who are those people?,0,0
"[33] SONT
",À qui sont ces livres ?,Whose books are these?,0,0
"[33] SONT
",À qui sont ces livres ?,Whose books are those?,0,0
"[33] SONT
",Où sont mes livres ?,Where are my books?,0,0
"[33] SONT
",Qui sont tes parents ?,Who are your parents?,0,0
"[33] SONT
",Où sont les garçons ?,Where are the boys?,0,0
"[33] SONT
",Où sont mes parents ?,Where are my parents?,0,0
"[33] SONT
",Qui sont vos parents ?,Who are your parents?,0,0
"[33] SONT
",Où sont tous les autres ?,Where are all the others?,0,0
"[33] SONT
",Où sont tous les autres ?,Where's everybody else?,0,0
"[34] FAIT
",Tu ne le lui as pas fait dire !,That's told him!,0,0
"[34] FAIT
",Qui a fait ça ?,Who did this?,0,0
"[34] FAIT
",Ça tu ne le lui as pas fait dire !,That's told him!,0,0
"[34] FAIT
",Je n'ai rien fait !,I didn’t do anything!,0,0
"[34] FAIT
","Je n'ai pas fait cela, si ?","I didn't do this, did I?",0,0
"[34] FAIT
",Il fait un temps de chien,What horrible weather.,0,0
"[34] FAIT
",Que fait ton père ?,What does your father do?,0,0
"[34] FAIT
",Ça vous a fait mal ?,Did it hurt?,0,0
"[34] FAIT
",Je suis tout à fait d'accord !,I agree completely.,0,0
"[34] FAIT
",Ça fait quoi ?,How does it feel?,0,0
"[35] SUR
",À qui est le livre sur le bureau ?,Whose is the book on the desk?,0,0
"[35] SUR
",À qui est ce livre sur le bureau ?,Whose book is this on the desk?,0,0
"[35] SUR
",Pas sur mon bureau !,Don't put it on my desk.,0,0
"[35] SUR
",Tu as un crayon sur toi ?,Do you have a pen on you?,0,0
"[35] SUR
",Garde les yeux sur la route !,Keep your eyes on the road.,0,0
"[35] SUR
",Il faudra me passer sur le corps !,Over my dead body!,0,0
"[35] SUR
",Honte sur toi!,Shame on you!,0,0
"[35] SUR
",Honte sur toi!,Shame on you.,0,0
"[35] SUR
",Ne marchez pas sur la pelouse !,Keep off the grass!,0,0
"[35] SUR
",Il y a de la neige sur la montagne.,There is snow on the mountain.,0,0
"[36] CETTE
",Qui est cette personne ?,Who is that person?,0,0
"[36] CETTE
",De qui est cette lettre ?,Who is this letter from?,0,0
"[36] CETTE
",Qui est cette femme ?,Who is that woman?,0,0
"[36] CETTE
",Qui est cette femme ?,Who is that lady?,0,0
"[36] CETTE
",Qui est cette femme ?,Who is this woman?,0,0
"[36] CETTE
",Qui est cette femme ?,Who is this lady?,0,0
"[36] CETTE
",Qui est cette fille ?,Who is this girl?,0,0
"[36] CETTE
",Qui est cette fille ?,Who's that girl?,0,0
"[36] CETTE
",De qui était cette idée ?,Whose idea was that?,0,0
"[36] CETTE
",Qui a eu cette idée ?,Who had this idea?,0,0
"[37] MOI
",Au temps pour moi !,My bad!,0,0
"[37] MOI
",Au temps pour moi !,My mistake!,0,0
"[37] MOI
",Ne parle pas de moi !,Don't talk about me.,0,0
"[37] MOI
",Même pas moi !,Not even me!,0,0
"[37] MOI
",Pas même moi !,Not even me!,0,0
"[37] MOI
",Quoi ? Qui ? Moi ?,"What? Who, me?",0,0
"[37] MOI
","Ce n'est pas toi, c'est moi !","It's not you, it's me!",0,0
"[37] MOI
",Ne joue pas avec moi !,Don't play games with me.,0,0
"[37] MOI
",Tu viens avec moi ?,Are you coming with me?,0,0
"[37] MOI
","Qui est le plus jeune, lui ou moi ?","Who is younger, him or me?",0,0
"[38] SON
",Comment ça va à son école ?,How is he getting along with his school work?,0,0
"[38] SON
","Quel est son nom, déjà ?",What's her name again?,0,0
"[38] SON
",Qui a pris son cœur ?,Who has captured his heart?,0,0
"[38] SON
",Quel est son nom ?,What's his name?,0,0
"[38] SON
","Tu as pris son nom, par hasard ?","You didn't happen to catch his name, did you?",0,0
"[38] SON
",Je suis d'accord avec son opinion,I agree with his opinion.,0,0
"[38] SON
",Qu'est devenu son fils ?,What has become of her son?,0,0
"[38] SON
",Tiens compte de son conseil !,Take heed of her advice.,0,0
"[38] SON
",Le son de la radio est un peu fort.,The radio is a bit loud.,0,0
"[38] SON
",Il y alla à la place de son père.,He went there instead of his father.,0,0
"[39] NOUS
",Viens avec nous !,Come along with us.,0,0
"[39] NOUS
",Viens chez nous !,Come over.,0,0
"[39] NOUS
",J'aime cette photo de nous !,I like this picture of us!,0,0
"[39] NOUS
",Pourquoi ne pas dîner avec nous ?,Why not have dinner with us?,0,0
"[39] NOUS
",Quelle chance nous avons !,How lucky we are!,0,0
"[39] NOUS
",Ils sont parmi nous !,They are among us!,0,0
"[39] NOUS
",Combien d'entre nous sont là ?,How many of us are there?,0,0
"[39] NOUS
",Ne nous oublie pas !,Don't forget about us!,0,0
"[39] NOUS
",Ne nous oublie pas !,Don't forget us!,0,0
"[39] NOUS
",Venez chez nous !,Come over.,0,0
"[40] PEUX
",Je peux le faire !,I can do this.,0,0
"[40] PEUX
",Tu peux le faire !,You can do it.,0,0
"[40] PEUX
","Tu ne peux pas le faire, si ?","You can't do it, can you?",0,0
"[40] PEUX
",Tu ne peux pas ou tu ne veux pas ?,You can't or you won't?,0,0
"[40] PEUX
",Je ne peux plus en prendre !,I can't take any more!,0,0
"[40] PEUX
",Je peux aller avec lui ?,May I go with him?,0,0
"[40] PEUX
",Viens si tu peux !,Come if you can!,0,0
"[40] PEUX
",Je n'en peux plus !,I can't stand it any more!,0,0
"[40] PEUX
",Je n'en peux plus !,I'm sick of it!,0,0
"[40] PEUX
",Je peux rester ici cette nuit ?,Can I stay here tonight?,0,0
"[41] SE
",Où se trouve mon livre ?,Where's my book?,0,0
"[41] SE
",Où se trouve mon livre ?,Where is my book?,0,0
"[41] SE
",Où se trouve votre père ?,Where is your father?,0,0
"[41] SE
",Où se trouve sa maison ?,Where is his house?,0,0
"[41] SE
",Où se trouve sa maison ?,Where is her house?,0,0
"[41] SE
","Comment ça se passe, au travail ?",How are things at work?,0,0
"[41] SE
",Où se trouve ton père ?,Where is your father?,0,0
"[41] SE
","Comment ça se passe, à l’école ?",How are things at school?,0,0
"[41] SE
",Où se trouve la gare ?,Where is the station?,0,0
