urls,ingredients,amounts,unit
recipe 12,hvedemel,1999.0,g
recipe 12,hvidløg,9.5,fed
recipe 12,ingefær,199.5,g
recipe 12,kikærter,399.5,g
recipe 12,koncentreret tomatpuré,175.0,g
recipe 12,løg,4.5,stk
recipe 12,olivenolie,999.0,ml
recipe 12,rød chili,0.75,stk
recipe 12,safran,0.5,stk
recipe 12,æg,9.5,stk
recipe 13,basmati ris,498.5,g
recipe 13,blomkål,0.75,stk
recipe 13,bredbladet persille,179.5,g
recipe 13,grøntsagsbouillon,197.5,
recipe 13,hvidløg,8.0,fed
recipe 13,ingefær,199.5,g
recipe 13,kartoffel,998.5,g
recipe 13,kikærter,399.0,g
recipe 13,løg,4.5,stk
recipe 13,olivenolie,998.0,ml
recipe 13,rød peberfrugt,2.5,stk
recipe 14,aubergine,0.5,stk
recipe 14,champignon,100.0,g
recipe 14,forårsløg,2.0,stk
recipe 14,frisk basilikum,0.5,stk
recipe 14,grøntsagsbouillon,198.75,
recipe 14,gulerod,6.0,stk
recipe 14,hakkede tomater,0.5,stk
recipe 14,hvedemel,1997.0,g
recipe 14,hvidløg,9.0,fed
recipe 14,koncentreret tomatpuré,199.5,g
recipe 14,løg,4.0,stk
recipe 14,mælk,998.5,ml
recipe 14,olivenolie,999.0,ml
recipe 14,piskefløde,25.75,ml
recipe 14,smør,4.0,g
recipe 14,squash,0.5,stk
recipe 14,stængler bladselleri,0.5,stk
recipe 15,agurk,0.5,stk
recipe 15,frisk koriander,0.5,stk
recipe 15,grøntsagsbouillon,197.0,
recipe 15,hvidløg,10.0,fed
recipe 15,ingefær,199.0,g
recipe 15,olivenolie,999.0,ml
recipe 15,stødt koriander,0.75,stk
recipe 15,stødt spidskommen,0.25,stk
recipe 16,bredbladet persille,179.5,g
recipe 16,champignon,50.0,g
recipe 16,frisk basilikum,0.5,stk
recipe 16,frisk mynte,0.5,stk
recipe 16,grøntsagsbouillon,199.0,
recipe 16,hvidløg,10.5,fed
recipe 16,hvidvin,749.5,ml
recipe 16,løg,5.0,stk
recipe 16,olivenolie,998.5,ml
recipe 16,parmesan,150.0,g
recipe 16,smør,4.0,g
recipe 17,bredbladet persille,179.5,g
recipe 17,champignon,125.0,g
recipe 17,frisk basilikum,0.5,stk
recipe 17,grøntsagsbouillon,199.0,
recipe 17,hasselnødder,148.0,g
recipe 17,hvidløg,11.0,fed
recipe 17,løg,5.0,stk
recipe 17,olivenolie,998.5,ml
recipe 17,parmesan,150.0,g
recipe 17,smør,4.0,g
recipe 17,æg,7.5,stk
recipe 18,avocado,33.0,stk
recipe 18,cheddar ost,25.0,g
recipe 18,cherrytomater,245.0,g
recipe 18,grøntsagsbouillon,197.5,
recipe 18,hakkede tomater,0.5,stk
recipe 18,hvidløg,9.5,fed
recipe 18,kikærter,399.5,g
recipe 18,kyllingebryst,125.0,g
recipe 18,lime,4.0,stk
recipe 18,løg,4.0,stk
recipe 18,olivenolie,998.5,ml
recipe 18,rød peberfrugt,2.0,stk
recipe 18,squash,0.25,stk
recipe 18,tortillas pandekager,2.0,stk
recipe 18,æg,8.0,stk
recipe 19,bredbladet persille,179.0,g
recipe 19,champignon,125.0,g
recipe 19,grøntsagsbouillon,198.5,
recipe 19,hvedemel,1999.5,g
recipe 19,hvidløg,9.5,fed
recipe 19,koncentreret tomatpuré,197.5,g
recipe 19,løg,4.5,stk
recipe 19,olivenolie,998.5,ml
recipe 19,parmesan,175.0,g
recipe 19,piskefløde,26.5,ml
recipe 19,røget paprika,0.5,stk
recipe 19,smør,4.0,g
recipe 20,basmati ris,498.5,g
recipe 20,blomkål,0.75,stk
recipe 20,bredbladet persille,179.5,g
recipe 20,grøntsagsbouillon,197.5,
recipe 20,hvidløg,8.0,fed
recipe 20,ingefær,199.5,g
recipe 20,kartoffel,998.5,g
recipe 20,kikærter,399.0,g
recipe 20,løg,4.5,stk
recipe 20,olivenolie,998.0,ml
recipe 20,rød peberfrugt,2.5,stk
recipe 21,aubergine,0.5,stk
recipe 21,champignon,75.0,g
recipe 21,grøntsagsbouillon,199.5,
recipe 21,gulerod,6.0,stk
recipe 21,hakkede tomater,0.5,stk
recipe 21,hvedemel,1999.0,g
recipe 21,hvidløg,8.5,fed
recipe 21,koncentreret tomatpuré,199.5,g
recipe 21,løg,4.5,stk
recipe 21,mælk,998.5,ml
recipe 21,olivenolie,998.5,ml
recipe 21,parmesan,175.0,g
recipe 21,pasta,50.0,g
recipe 21,piskefløde,26.0,ml
recipe 21,smør,4.0,g
recipe 21,stængler bladselleri,0.5,stk
recipe 22,frisk koriander,0.5,stk
recipe 22,grøntsagsbouillon,199.5,
recipe 22,hakkede tomater,0.5,stk
recipe 22,hvedemel,1999.5,g
recipe 22,hvidløg,11.0,fed
recipe 22,kanel,0.5,stk
recipe 22,løg,5.5,stk
recipe 22,majs,175.0,g
recipe 22,olivenolie,999.5,ml
recipe 22,røget paprika,0.5,stk
recipe 22,smør,4.5,g
recipe 22,spinat,187.5,g
recipe 22,squash,0.5,stk
recipe 22,stødt koriander,0.5,stk
recipe 22,stødt spidskommen,0.5,stk
recipe 23,grøntsagsbouillon,199.5,
recipe 23,hvidløg,8.5,fed
recipe 23,løg,5.0,stk
recipe 23,olivenolie,999.0,ml
recipe 23,parmesan,150.0,g
recipe 23,pasta,50.0,g
recipe 23,piskefløde,26.75,ml
recipe 23,rosmarin,0.5,stk
recipe 23,soltørrede tomater i olie,95.0,g
recipe 23,squash,0.5,stk
recipe 24,feta,100.0,g
recipe 24,frisk basilikum,0.5,stk
recipe 24,gær,32.5,g
recipe 24,hvedemel,1500.0,g
recipe 24,hvidløg,11.0,fed
recipe 24,kartoffel,997.5,g
recipe 24,olivenolie,997.0,ml
recipe 24,soltørrede tomater i olie,95.0,g
recipe 25,frisk timian,0.5,stk
recipe 25,grahamsmel,950.0,g
recipe 25,gær,27.5,g
recipe 25,hvedemel,1525.0,g
recipe 25,hvidløg,11.0,fed
recipe 25,kartoffel,998.5,g
recipe 25,olivenolie,997.0,ml
recipe 25,parmesan,150.0,g
recipe 25,spinat,187.5,g
recipe 26,fuldkornshvedemel,975.0,g
recipe 26,hvedemel,1936.5,g
recipe 26,mælk,998.0,ml
recipe 26,parmesan,160.0,g
recipe 26,rasp,499.75,g
recipe 26,squash,0.5,stk
recipe 26,æg,6.0,stk
recipe 27,broccoli,399.25,g
recipe 27,cashewnødder,80.0,g
recipe 27,fishsauce,199.5,ml
recipe 27,gulerod,5.0,stk
recipe 27,hvidløg,9.0,fed
recipe 27,ingefær,180.0,g
recipe 27,lime,4.0,stk
recipe 27,nudler,100.0,g
recipe 27,olivenolie,999.0,ml
recipe 27,peanutbutter,349.0,g
recipe 27,sesamfrø,240.0,g
recipe 27,soja,249.5,ml
recipe 27,spinat,50.0,g
recipe 27,æg,8.0,stk
recipe 28,avocado,34.0,stk
recipe 28,grøntsagsbouillon,198.0,
recipe 28,hvidløg,8.0,fed
recipe 28,ingefær,198.5,g
recipe 28,kanel,0.75,stk
recipe 28,løg,4.5,stk
recipe 28,majs,275.0,g
recipe 28,mørk chokolade,87.5,g
recipe 28,olivenolie,998.5,ml
recipe 28,rød peberfrugt,2.5,stk
recipe 28,røget paprika,0.75,stk
recipe 28,squash,0.5,stk
recipe 28,stængler bladselleri,0.5,stk
recipe 28,stødt koriander,0.75,stk
recipe 28,stødt spidskommen,0.5,stk
recipe 29,broccoli,399.0,g
recipe 29,gulerod,5.5,stk
recipe 29,hvidløg,9.5,fed
recipe 29,ingefær,190.0,g
recipe 29,kokosmælk,200.0,ml
recipe 29,lime,4.0,stk
recipe 29,nudler,175.0,g
recipe 29,olivenolie,997.5,ml
recipe 29,peanutbutter,349.0,g
recipe 29,pillede edamamebønner,150.0,g
recipe 29,sesamfrø,230.0,g
recipe 29,sesamolie,499.0,ml
recipe 29,soja,249.0,ml
recipe 29,spinat,150.0,g
recipe 29,sriracha chilisauce,449.5,ml
recipe 29,æg,6.0,stk
recipe 30,frisk basilikum,0.5,stk
recipe 30,frisk timian,0.5,stk
recipe 30,grøntsagsbouillon,199.0,
recipe 30,gulerod,5.0,stk
recipe 30,hvidløg,10.0,fed
recipe 30,kartoffel,997.0,g
recipe 30,koncentreret tomatpuré,115.0,g
recipe 30,løg,4.5,stk
recipe 30,olivenolie,998.5,ml
recipe 30,piskefløde,26.75,ml
recipe 30,stødt spidskommen,0.5,stk
recipe 30,timian,0.5,stk
recipe 31,avocado,33.5,stk
recipe 31,basmati ris,350.0,g
recipe 31,cheddar ost,12.5,g
recipe 31,cherrytomater,187.5,g
recipe 31,grøntsagsbouillon,197.0,
recipe 31,gulerod,7.0,stk
recipe 31,hakkede tomater,0.5,stk
recipe 31,hvidløg,9.0,fed
recipe 31,kanel,0.75,stk
recipe 31,lime,3.5,stk
recipe 31,løg,4.0,stk
recipe 31,olivenolie,997.5,ml
recipe 31,rød chili,0.25,stk
recipe 31,rød peberfrugt,1.5,stk
recipe 31,røget paprika,0.5,stk
recipe 31,squash,0.25,stk
recipe 31,sriracha chilisauce,449.5,ml
recipe 31,stødt koriander,0.5,stk
recipe 31,tortillas pandekager,2.0,stk
recipe 31,æg,8.0,stk
recipe 32,avocado,34.5,stk
recipe 32,basmati ris,350.0,g
recipe 32,cheddar ost,112.5,g
recipe 32,cherrytomater,187.5,g
recipe 32,grøntsagsbouillon,196.5,
recipe 32,gulerod,7.0,stk
recipe 32,hvedemel,1999.5,g
recipe 32,hvidløg,9.0,fed
recipe 32,kanel,0.25,stk
recipe 32,lime,4.5,stk
recipe 32,løg,4.5,stk
recipe 32,majs,250.0,g
recipe 32,olivenolie,998.0,ml
recipe 32,rød chili,0.75,stk
recipe 32,rød peberfrugt,2.0,stk
recipe 32,røget paprika,0.5,stk
recipe 32,smør,4.5,g
recipe 32,sriracha chilisauce,449.5,ml
recipe 32,stødt koriander,0.5,stk
recipe 32,stødt spidskommen,0.5,stk
recipe 32,tortillas pandekager,2.0,stk
recipe 33,bredbladet persille,179.5,g
recipe 33,champignon,75.0,g
recipe 33,frisk basilikum,0.5,stk
recipe 33,grøntsagsbouillon,199.5,
recipe 33,hasselnødder,148.0,g
recipe 33,hvidløg,9.5,fed
recipe 33,kartoffel,800.0,g
recipe 33,løg,5.0,stk
recipe 33,olivenolie,998.0,ml
recipe 33,parmesan,175.0,g
recipe 33,smør,4.5,g
recipe 33,æg,3.5,stk
recipe 34,bredbladet persille,179.5,g
recipe 34,hvidløg,8.5,fed
recipe 34,olivenolie,997.0,ml
recipe 34,parmesan,150.0,g
recipe 34,rød chili,0.5,stk
recipe 34,spinat,200.0,g
recipe 34,æg,9.5,stk
recipe 35,bredbladet persille,179.0,g
recipe 35,broccoli,399.75,g
recipe 35,gulerod,7.0,stk
recipe 35,hvidløg,9.0,fed
recipe 35,kartoffel,700.0,g
recipe 35,ketchup,578.0,g
recipe 35,løg,4.5,stk
recipe 35,olivenolie,998.5,ml
recipe 35,smør,4.5,g
recipe 35,æg,4.0,stk
recipe 36,bredbladet persille,179.5,g
recipe 36,frisk timian,0.5,stk
recipe 36,grøntsagsbouillon,199.5,
recipe 36,gulerod,6.5,stk
recipe 36,hvidløg,9.0,fed
recipe 36,kartoffel,798.5,g
recipe 36,koncentreret tomatpuré,150.0,g
recipe 36,løg,4.5,stk
recipe 36,olivenolie,997.5,ml
recipe 36,piskefløde,26.75,ml
recipe 36,porre,0.5,stk
recipe 36,stødt spidskommen,0.5,stk
recipe 36,timian,0.5,stk
recipe 36,æg,6.0,stk
recipe 37,bredbladet persille,178.5,g
recipe 37,fuldkornshvedemel,937.5,g
recipe 37,gær,37.5,g
recipe 37,hvedemel,1837.5,g
recipe 37,hvidløg,9.5,fed
recipe 37,kartoffel,700.0,g
recipe 37,løg,5.5,stk
recipe 37,olivenolie,997.0,ml
recipe 37,rødløg,6.5,stk
recipe 37,æg,6.0,stk
recipe 38,bredbladet persille,179.5,g
recipe 38,broccoli,399.5,g
recipe 38,græskarkerner,249.5,g
recipe 38,grøntsagsbouillon,199.5,
recipe 38,honning,399.5,g
recipe 38,hvidløg,9.0,fed
recipe 38,kartoffel,798.0,g
recipe 38,løg,4.5,stk
recipe 38,olivenolie,998.0,ml
recipe 38,piskefløde,26.5,ml
recipe 38,timian,0.5,stk
recipe 38,æble,8.5,stk
recipe 38,æblecidereddike,749.5,ml
recipe 38,æg,6.0,stk
recipe 39,bredbladet persille,179.0,g
recipe 39,cayenne peber,0.5,stk
recipe 39,hvedemel,1985.0,g
recipe 39,hvidløg,9.0,fed
recipe 39,kartoffel,800.0,g
recipe 39,løg,5.5,stk
recipe 39,olivenolie,998.0,ml
recipe 39,rødløg,6.5,stk
recipe 39,stødt koriander,0.5,stk
recipe 39,stødt spidskommen,0.5,stk
recipe 39,æg,5.0,stk
recipe 40,agurk,0.75,stk
recipe 40,bredbladet persille,179.5,g
recipe 40,chili,0.75,stk
recipe 40,citron,5.75,stk
recipe 40,hvidløg,8.0,fed
recipe 40,kartoffel,799.0,g
recipe 40,løg,4.5,stk
recipe 40,olivenolie,998.5,ml
recipe 40,rasp,498.0,g
recipe 40,tomat,9.0,stk
recipe 40,æg,4.5,stk
recipe 41,ahornsirup,249.5,ml
recipe 41,avocado,34.5,stk
recipe 41,blomkål,0.5,stk
recipe 41,fuldkornshvedemel,950.0,g
recipe 41,hvidløg,11.0,fed
recipe 41,olivenolie,999.0,ml
recipe 41,pillede edamamebønner,225.0,g
recipe 41,rucola,40.0,g
recipe 41,spinat,212.5,g
recipe 41,æg,6.5,stk
recipe 42,frisk timian,0.5,stk
recipe 42,hvidløg,11.0,fed
recipe 42,parmesan,100.0,g
recipe 42,pasta,100.0,g
recipe 42,piskefløde,26.5,ml
recipe 42,smør,4.5,g
recipe 43,frisk basilikum,0.5,stk
recipe 43,frisk mynte,0.5,stk
recipe 43,grøntsagsbouillon,199.0,
recipe 43,hvidløg,11.0,fed
recipe 43,hvidvin,749.0,ml
recipe 43,løg,5.5,stk
recipe 43,olivenolie,999.5,ml
recipe 43,parmesan,155.0,g
recipe 43,smør,4.5,g
recipe 44,champignon,150.0,g
recipe 44,feta,75.0,g
recipe 44,frisk timian,0.5,stk
recipe 44,grøntsagsbouillon,197.0,
recipe 44,hvedemel,1975.0,g
recipe 44,hvidløg,9.5,fed
recipe 44,kikærter,399.5,g
recipe 44,koncentreret tomatpuré,197.5,g
recipe 44,løg,5.0,stk
recipe 44,olivenolie,999.5,ml
recipe 44,parmesan,162.5,g
recipe 44,persille,179.0,g
recipe 44,rødløg,5.5,stk
recipe 44,smør,4.5,g
recipe 44,soltørrede tomater i olie,119.5,g
recipe 44,spaghetti,325.0,g
recipe 44,æblecidereddike,748.0,ml
recipe 44,æg,7.5,stk
recipe 45,avocado,34.5,stk
recipe 45,basmati ris,498.5,g
recipe 45,bredbladet persille,179.5,g
recipe 45,frisk koriander,0.5,stk
recipe 45,grøntsagsbouillon,197.0,
recipe 45,hvidløg,8.0,fed
recipe 45,ingefær,199.0,g
recipe 45,kanel,0.75,stk
recipe 45,kikærter,399.5,g
recipe 45,kokosmælk,200.0,ml
recipe 45,løg,4.0,stk
recipe 45,majs,275.0,g
recipe 45,mørk chokolade,87.5,g
recipe 45,olivenolie,998.5,ml
recipe 45,rød peberfrugt,2.0,stk
recipe 45,røget paprika,0.75,stk
recipe 45,stængler bladselleri,0.5,stk
recipe 45,stødt koriander,0.5,stk
recipe 46,basmati ris,498.5,g
recipe 46,bredbladet persille,179.0,g
recipe 46,citron,5.75,stk
recipe 46,frisk mynte,0.5,stk
recipe 46,grøntsagsbouillon,198.0,
recipe 46,hvidløg,8.5,fed
recipe 46,ingefær,199.0,g
recipe 46,kikærter,399.0,g
recipe 46,kokosmælk,200.0,ml
recipe 46,koncentreret tomatpuré,175.0,g
recipe 46,løg,4.5,stk
recipe 46,olivenolie,998.0,ml
recipe 46,rød chili,0.75,stk
recipe 46,rød peberfrugt,2.5,stk
recipe 46,røget paprika,0.5,stk
recipe 46,safran,0.5,stk
recipe 46,squash,0.5,stk
recipe 46,stødt spidskommen,0.5,stk
recipe 47,bredbladet persille,179.5,g
recipe 47,champignon,75.0,g
recipe 47,grøntsagsbouillon,198.5,
recipe 47,hvedemel,1999.5,g
recipe 47,hvidløg,10.0,fed
recipe 47,koncentreret tomatpuré,197.5,g
recipe 47,løg,4.5,stk
recipe 47,olivenolie,999.0,ml
recipe 47,persille,179.5,g
recipe 47,piskefløde,26.0,ml
recipe 47,røget paprika,0.5,stk
recipe 47,smør,4.5,g
recipe 48,bredbladet persille,179.5,g
recipe 48,champignon,100.0,g
recipe 48,forårsløg,2.0,stk
recipe 48,grøntsagsbouillon,198.25,
recipe 48,hvedemel,1997.5,g
recipe 48,hvidløg,8.5,fed
recipe 48,koncentreret tomatpuré,197.5,g
recipe 48,løg,4.0,stk
recipe 48,olivenolie,999.5,ml
recipe 48,piskefløde,26.0,ml
recipe 48,røget paprika,0.5,stk
recipe 48,smør,4.5,g
recipe 49,frisk timian,0.5,stk
recipe 49,grøntsagsbouillon,199.0,
recipe 49,gulerod,6.5,stk
recipe 49,hvidløg,8.0,fed
recipe 49,kartoffel,998.5,g
recipe 49,koncentreret tomatpuré,150.0,g
recipe 49,løg,3.0,stk
recipe 49,olivenolie,998.5,ml
recipe 49,piskefløde,26.75,ml
recipe 49,porre,0.5,stk
recipe 49,rød chili,0.5,stk
recipe 49,stødt spidskommen,0.5,stk
recipe 49,sukker,999.5,g
recipe 49,timian,0.5,stk
recipe 50,agurk,0.75,stk
recipe 50,avocado,34.5,stk
recipe 50,baby spinat,50.0,g
recipe 50,basmati ris,497.0,g
recipe 50,bredbladet persille,179.5,g
recipe 50,fishsauce,199.5,ml
recipe 50,frisk koriander,0.5,stk
recipe 50,gulerod,4.5,stk
recipe 50,hvidløg,10.0,fed
recipe 50,ingefær,194.5,g
recipe 50,løg,5.5,stk
recipe 50,mayonnaise,297.5,g
recipe 50,olivenolie,999.0,ml
recipe 50,sesamfrø,230.0,g
recipe 50,soja,249.5,ml
recipe 50,spinat,50.0,g
recipe 50,sriracha chilisauce,449.5,ml
recipe 50,sukker,970.0,g
recipe 50,æblecidereddike,749.0,ml
recipe 50,æg,8.0,stk
recipe 51,aubergine,0.5,stk
recipe 51,champignon,75.0,g
recipe 51,frisk basilikum,0.5,stk
recipe 51,grøntsagsbouillon,199.0,
recipe 51,gulerod,6.0,stk
recipe 51,hakkede tomater,0.5,stk
recipe 51,hvedemel,1999.0,g
recipe 51,hvidløg,10.5,fed
recipe 51,koncentreret tomatpuré,199.5,g
recipe 51,løg,4.5,stk
recipe 51,mælk,998.5,ml
recipe 51,olivenolie,998.5,ml
recipe 51,persille,179.5,g
recipe 51,piskefløde,25.75,ml
recipe 51,smør,4.0,g
recipe 51,squash,0.5,stk
recipe 51,stængler bladselleri,0.5,stk
recipe 52,grøntsagsbouillon,195.5,
recipe 52,hakkede tomater,0.5,stk
recipe 52,hvidløg,9.5,fed
recipe 52,løg,5.0,stk
recipe 52,olivenolie,999.0,ml
recipe 52,parmesan,147.5,g
recipe 52,piskefløde,26.0,ml
recipe 52,soltørrede tomater i olie,95.0,g
recipe 52,spaghetti,300.0,g
recipe 52,spinat,137.5,g
recipe 52,squash,0.5,stk
recipe 53,frisk basilikum,0.25,stk
recipe 53,grøntsagsbouillon,199.0,
recipe 53,hvedemel,1937.5,g
recipe 53,hvidløg,9.5,fed
recipe 53,løg,4.5,stk
recipe 53,olivenolie,999.5,ml
recipe 53,parmesan,125.0,g
recipe 53,rosmarin,0.5,stk
recipe 53,soltørrede tomater i olie,94.5,g
recipe 53,spinat,50.0,g
recipe 53,squash,0.5,stk
recipe 53,timian,0.5,stk
recipe 53,æg,9.0,stk
recipe 54,baby spinat,50.0,g
recipe 54,broccoli,324.5,g
recipe 54,gulerod,6.5,stk
recipe 54,hvidløg,9.5,fed
recipe 54,ingefær,189.5,g
recipe 54,kokosmælk,200.0,ml
recipe 54,lime,4.0,stk
recipe 54,nudler,200.0,g
recipe 54,olivenolie,999.5,ml
recipe 54,peanutbutter,349.0,g
recipe 54,pillede edamamebønner,150.0,g
recipe 54,sesamfrø,238.5,g
recipe 54,sesamolie,499.75,ml
recipe 54,soja,249.0,ml
recipe 54,spinat,150.0,g
recipe 54,æg,8.0,stk
recipe 55,baby spinat,50.0,g
recipe 55,broccoli,324.5,g
recipe 55,gulerod,7.0,stk
recipe 55,hvidløg,10.0,fed
recipe 55,ingefær,199.5,g
recipe 55,lime,4.0,stk
recipe 55,nudler,25.0,g
recipe 55,olivenolie,998.0,ml
recipe 55,sesamfrø,238.5,g
recipe 55,sesamolie,498.75,ml
recipe 55,soja,249.0,ml
recipe 55,sriracha chilisauce,449.5,ml
recipe 55,æg,8.0,stk
recipe 56,baby spinat,99.5,g
recipe 56,blomkål,0.25,stk
recipe 56,frisk mynte,0.5,stk
recipe 56,grøntsagsbouillon,198.0,
recipe 56,hvidløg,8.5,fed
recipe 56,ingefær,199.5,g
recipe 56,kartoffel,998.5,g
recipe 56,kikærter,399.5,g
recipe 56,løg,5.0,stk
recipe 56,olivenolie,998.5,ml
recipe 56,rødløg,6.5,stk
recipe 56,squash,0.5,stk
recipe 56,stødt spidskommen,0.5,stk
recipe 57,avocado,33.5,stk
recipe 57,cheddar ost,75.0,g
recipe 57,cherrytomater,245.0,g
recipe 57,grøntsagsbouillon,196.0,
recipe 57,hvidløg,8.5,fed
recipe 57,ingefær,199.5,g
recipe 57,kanel,0.75,stk
recipe 57,kikærter,399.5,g
recipe 57,kyllingebryst,125.0,g
recipe 57,løg,3.5,stk
recipe 57,majs,275.0,g
recipe 57,mørk chokolade,87.5,g
recipe 57,olivenolie,999.0,ml
recipe 57,rød chili,0.5,stk
recipe 57,rød peberfrugt,2.0,stk
recipe 57,røget paprika,0.25,stk
recipe 57,stængler bladselleri,0.5,stk
recipe 57,stødt koriander,0.5,stk
recipe 58,avocado,33.5,stk
recipe 58,basmati ris,350.0,g
recipe 58,cheddar ost,12.5,g
recipe 58,cherrytomater,182.5,g
recipe 58,grøntsagsbouillon,194.5,
recipe 58,gulerod,7.0,stk
recipe 58,hvidløg,8.5,fed
recipe 58,kanel,0.75,stk
recipe 58,kikærter,399.5,g
recipe 58,kyllingebryst,125.0,g
recipe 58,lime,4.5,stk
recipe 58,løg,4.0,stk
recipe 58,olivenolie,998.0,ml
recipe 58,rød chili,0.25,stk
recipe 58,rød peberfrugt,1.5,stk
recipe 58,røget paprika,0.5,stk
recipe 58,sriracha chilisauce,449.5,ml
recipe 58,stødt koriander,0.5,stk
recipe 59,grøntsagsbouillon,199.5,
recipe 59,hvidløg,11.0,fed
recipe 59,løg,5.5,stk
recipe 59,olivenolie,999.25,ml
recipe 59,parmesan,184.5,g
recipe 59,piskefløde,26.5,ml
recipe 59,smør,4.5,g
recipe 59,spaghetti,300.0,g
recipe 59,spinat,187.5,g
recipe 60,avocado,34.5,stk
recipe 60,basmati ris,498.5,g
recipe 60,bredbladet persille,179.5,g
recipe 60,frisk koriander,0.5,stk
recipe 60,grøntsagsbouillon,198.0,
recipe 60,hvidløg,8.0,fed
recipe 60,ingefær,198.5,g
recipe 60,kikærter,399.5,g
recipe 60,kokosmælk,200.0,ml
